basin_id,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16
Basin_001,143282.8,-66733.805,49066.395,14937.303,49225.69,-8645.572,-4553.0454,-68608.82,-44779.49,4329.5024,12570.888,-47466.145,799.47894,24184.34,13435.357,-5652.8423
Basin_002,-7480.639,-196749.89,14861.827,9081.502,-88878.82,-287545.94,-30041.826,-166893.69,91039.97,3774.0552,-332788.75,503647.75,433459.7,-490516.88,4994.524,-15498.245
Basin_003,141831.19,44925.12,114433.99,160.63448,22565.254,29387.701,-7544.57,-9611.928,41590.65,-7021.418,13370.53,19162.02,-1339.9663,-11433.891,12514.436,-588.6021
Basin_004,102445.9,47610.684,69782.7,-31866.318,41874.54,7290.6187,15129.518,8035.2144,-4752.608,24635.598,62161.613,-41120.33,32040.416,-12043.895,-20635.902,27767.832
Basin_005,118087.94,12479.292,102402.13,17417.955,54796.277,66376.37,49802.93,65684.94,-18402.48,-3878.7507,-55985.418,-32832.824,22086.102,66452.75,-48286.64,38878.336
Basin_006,185825.39,-816.60114,81827.125,32851.316,67870.28,-24948.73,-28537.945,-21499.838,50743.625,-34348.816,17431.945,-39432.12,35194.617,4271.495,30763.23,-86092.0
Basin_007,121428.695,61549.688,71705.914,5215.511,48920.848,46379.94,-14562.393,38835.7,-22129.035,11277.801,-2870.5393,26072.03,-29464.71,-26373.414,34741.156,9873.264
Basin_008,85350.19,2888.9932,122238.62,2924.9182,92800.375,10519.818,-27972.834,-5228.547,20235.55,55278.79,35187.89,48531.562,-13324.715,-91289.41,15144.208,-47223.277
Basin_009,14568.545,-16681.684,101846.125,15545.182,143693.53,-4165.966,-84436.22,-117336.7,40563.0,8227.942,-104634.1,-38703.152,-7216.0586,10333.824,-39693.59,25573.807
Basin_010,62928.9,-776.8919,72545.44,6539.656,20811.893,100749.85,-98568.195,-53692.95,12328.518,-16171.912,49435.566,-4733.2153,22684.557,44620.438,58527.074,-19933.111
Basin_011,165138.42,26730.98,96239.88,7652.3228,37335.45,28884.432,6423.265,753.1167,12705.956,-6250.487,13950.838,-2163.1716,-985.7025,7782.6343,3425.909,7470.648
Basin_012,-1844567.0,-164503.33,308944.25,-135386.28,644782.06,106605.23,93935.82,-60124.367,65848.25,84644.02,-15738.595,275.15094,12519.249,-15588.786,-7620.699,-9766.069
Basin_013,-93495.74,363073.06,-640101.3,-873384.4,-14000.916,-340469.66,375521.3,38399.74,86062.66,3726.5872,54035.367,25981.73,108591.77,124548.04,-57892.86,158883.45
Basin_014,161619.05,30475.523,91974.78,5637.9536,34544.465,27614.537,6315.998,2579.595,10101.142,-10732.202,11061.296,-8141.6167,13240.064,14012.728,-5072.4375,6030.4717
Basin_015,69156.75,59405.57,-89124.86,-313357.6,-29116.29,-126957.34,195785.45,-79765.86,14564.222,-3402.6238,-66512.75,-23992.021,-54170.523,29178.512,-1502.0708,30544.258
Basin_016,110538.72,56530.42,27705.98,-162117.14,55788.93,-7537.9106,109564.055,7283.1255,-54779.387,199118.77,17064.957,312916.22,-715681.2,-269513.97,366268.62,97215.945
Basin_017,119599.51,81983.32,51822.688,-36802.152,38828.754,58481.23,-61074.707,65728.26,-18184.459,6928.347,42605.637,32927.85,-5052.2446,-16794.473,-35646.41,13489.3545
Basin_018,118041.93,80173.41,67294.8,91576.61,1000.307,15771.322,55852.79,11467.447,1546.9684,10905.675,57494.684,13962.705,24256.854,15436.275,-24550.727,-34945.53
Basin_019,88155.1,-17249.494,100953.19,5537.0938,24308.268,41918.504,24315.117,23191.426,-1204.2771,-33682.305,-26176.455,16417.502,15426.825,7441.5835,-20809.3,3249.9688
Basin_020,-9002.439,2304.1816,99872.19,-15625.781,38962.094,45002.83,19829.178,-25342.525,118818.18,-44279.094,-75056.83,-3677.1836,12720.133,105888.625,-47838.984,77277.5
Basin_021,134156.72,28477.871,113615.16,371.0899,39154.85,24541.66,7607.206,5721.5674,20691.43,-10552.298,3263.4443,-16510.79,18959.969,-18881.596,13332.045,-10707.092
Basin_022,58243.16,117364.28,-58249.32,-190593.56,101296.766,-65247.9,114097.06,-1606.1887,-14408.753,109140.33,100513.4,86684.875,25690.084,47167.086,-43034.117,-66309.96
Basin_023,-38769.164,42482.9,-102528.3,-60555.957,9277.035,132999.84,-210061.98,-28026.418,107190.55,-1875.3677,192880.12,22395.8,189799.06,60105.86,209248.38,-210775.45
Basin_024,-107792.28,243767.7,-242226.44,-6853.452,-56236.312,-155458.75,-6435.625,-168556.17,319778.47,-229136.53,-306831.4,-595265.7,-119205.78,-302224.44,232547.27,-238103.92
Basin_025,120315.766,99905.66,23080.926,5350.977,8256.917,3119.1167,34778.316,4935.956,19329.27,29198.568,60959.883,-20143.715,58338.816,56286.625,39502.688,31199.732
Basin_026,165541.45,-352.91135,90298.11,3969.348,59852.805,57328.688,16022.981,8657.825,48242.17,29111.887,28660.865,40599.41,-12123.603,-45151.133,37449.383,-19693.117
Basin_027,152418.11,-16549.223,68859.53,37444.184,94341.87,-20799.29,-7463.3423,22672.607,9737.618,-7017.87,25299.703,-41926.176,-8688.859,11103.667,5133.0156,-7194.9517
Basin_028,98303.13,47720.918,87988.9,-3281.5635,74617.164,35180.816,24399.129,-15062.838,41688.79,13864.229,14817.462,-1887.2935,16915.742,36960.707,-26986.041,15228.602
Basin_029,41123.84,-29931.262,151403.16,19616.889,-91362.83,-25364.607,19305.766,-91648.88,-2917.992,-99350.266,-48399.89,33868.11,12640.218,60497.297,-28217.291,68544.87
Basin_030,-139042.72,173330.8,49935.934,128733.305,-68278.89,-26110.443,86931.52,115919.08,101078.734,44052.754,232008.47,-261274.66,-63915.44,-368555.78,-393221.03,327836.56
Basin_031,88750.73,9740.021,80499.92,-33090.457,108711.11,-2707.918,-38538.18,9282.995,-17900.338,44095.81,-80978.98,-24413.389,-9840.29,55196.555,-44189.258,64216.316
Basin_032,53073.91,47347.41,41326.547,12837.436,297.45996,21383.834,-94350.49,3825.4326,74766.625,-26338.746,-36073.184,-50225.727,17993.13,71061.93,-39952.387,139710.08
Basin_033,-42090.15,63381.324,-40060.918,-204300.12,-31970.08,-53240.24,32688.188,-148263.75,-84341.59,-108401.14,-73480.2,43353.355,-89316.71,180038.97,-3567.619,-450094.03
Basin_034,-116961.28,234562.53,-84669.555,425483.25,-173377.97,-137496.81,335410.22,-16041.264,119045.13,85074.6,-54168.152,147228.7,-211424.12,17919.58,-446364.16,-343726.34
Basin_035,139945.95,17901.268,70999.305,32095.139,45138.676,29675.867,11677.176,12437.965,805.2647,9878.293,-7717.458,-16299.743,8216.108,25049.281,-14074.198,9066.726
Basin_036,-168606.4,115949.2,-2701.247,7794.3613,11838.684,192643.69,-315102.1,57686.07,-59403.793,72019.055,165798.16,-3805.269,68938.03,3398.6616,161744.73,-111636.484
Basin_037,96356.695,-76389.586,48977.543,-68949.945,-44732.082,20111.457,32087.654,-112832.92,-82212.336,48056.426,-70792.0,-46158.613,-7148.432,-47970.24,-47119.64,20547.785
Basin_038,-73110.49,-778018.9,-501236.12,119451.09,-121884.74,399401.25,234134.78,100146.32,57479.195,42948.773,6725.849,68805.53,-100350.77,-7526.292,-139700.94,-163328.88
Basin_039,-20514.82,-732740.7,-576005.2,177104.05,-42325.125,341564.8,284442.3,120701.09,66749.75,-179396.31,88184.5,-66619.72,60162.465,-70650.65,205277.56,147098.2
Basin_040,156237.62,-179013.47,-96589.875,38479.01,37513.18,21161.395,26802.154,-29609.86,53165.926,-21160.396,-36038.91,78099.18,148236.75,-35977.65,53394.938,-6998.472
Basin_041,60003.3,-15226.256,53204.094,74848.93,27607.81,10541.445,50779.223,-42177.668,-5496.97,-84890.53,43698.555,3308.3193,-3943.2314,223.83267,-57146.363,34778.617
Basin_042,-13018.886,-176099.22,135736.61,-29758.96,-7207.821,48653.984,123370.58,-129120.87,-30151.377,-29738.67,-170362.89,-13073.656,-12153.113,121835.734,-46992.332,25156.451
Basin_043,111194.39,-12112.481,60821.2,9561.738,123916.25,-20046.809,14039.554,57125.18,-29747.914,-5188.8413,-53629.754,-1997.8513,1020.7435,26402.855,-15215.596,-5597.4316
Basin_044,48327.418,-435512.62,-307376.12,266927.9,243310.78,-663446.9,-289638.78,-42148.246,11931.636,67131.2,99340.62,18289.586,-28626.416,862.4406,-53.343742,32239.143
Basin_045,121423.19,19105.09,80792.03,-16054.585,41113.402,18598.453,29501.705,18156.693,4350.742,-25795.45,28766.04,682.49744,8892.105,20680.994,-7548.5835,-13271.593
Basin_046,39225.01,-381623.06,-314820.97,260274.4,326683.94,-599688.2,-270802.38,8393.874,-57092.766,45150.277,107135.19,-87673.19,-127285.914,202644.55,-21831.562,31871.781
Basin_047,166312.88,45861.44,72349.44,-27085.594,38015.953,30896.736,3956.6091,9434.02,25102.334,8302.358,21989.54,17063.494,-12940.26,7704.895,-5383.547,16128.364
