target_basin,similar_basin,similarity
Basin_001,Basin_027,0.786
Basin_001,Basin_006,0.731
Basin_001,Basin_035,0.712
Basin_002,Basin_040,0.517
Basin_002,Basin_044,0.242
Basin_002,Basin_008,0.209
Basin_003,Basin_011,0.955
Basin_003,Basin_021,0.955
Basin_003,Basin_053,0.946
Basin_004,Basin_061,0.831
Basin_004,Basin_069,0.817
Basin_004,Basin_066,0.816
Basin_005,Basin_035,0.855
Basin_005,Basin_019,0.85
Basin_005,Basin_057,0.767
Basin_006,Basin_027,0.868
Basin_006,Basin_070,0.846
Basin_006,Basin_021,0.835
Basin_007,Basin_047,0.856
Basin_007,Basin_011,0.846
Basin_007,Basin_003,0.835
Basin_008,Basin_026,0.826
Basin_008,Basin_062,0.736
Basin_008,Basin_003,0.723
Basin_009,Basin_031,0.692
Basin_009,Basin_020,0.542
Basin_009,Basin_028,0.464
Basin_010,Basin_061,0.614
Basin_010,Basin_062,0.599
Basin_010,Basin_023,0.577
Basin_011,Basin_053,0.995
Basin_011,Basin_057,0.995
Basin_011,Basin_014,0.995
Basin_012,Basin_050,0.312
Basin_012,Basin_036,0.279
Basin_012,Basin_065,0.257
Basin_013,Basin_015,0.832
Basin_013,Basin_022,0.694
Basin_013,Basin_059,0.469
Basin_014,Basin_057,1.0
Basin_014,Basin_053,0.999
Basin_014,Basin_069,0.999
Basin_015,Basin_013,0.832
Basin_015,Basin_022,0.61
Basin_015,Basin_033,0.37
Basin_016,Basin_062,0.442
Basin_016,Basin_007,0.408
Basin_016,Basin_008,0.35
Basin_017,Basin_049,0.889
Basin_017,Basin_007,0.83
Basin_017,Basin_047,0.805
Basin_018,Basin_048,0.813
Basin_018,Basin_066,0.801
Basin_018,Basin_070,0.748
Basin_019,Basin_005,0.85
Basin_019,Basin_045,0.843
Basin_019,Basin_021,0.84
Basin_020,Basin_032,0.659
Basin_020,Basin_058,0.581
Basin_020,Basin_042,0.564
Basin_021,Basin_070,0.959
Basin_021,Basin_069,0.958
Basin_021,Basin_011,0.958
Basin_022,Basin_013,0.694
Basin_022,Basin_015,0.61
Basin_022,Basin_064,0.484
Basin_023,Basin_036,0.762
Basin_023,Basin_010,0.577
Basin_023,Basin_059,0.5
Basin_024,Basin_063,0.246
Basin_024,Basin_015,0.218
Basin_024,Basin_033,0.209
Basin_025,Basin_004,0.751
Basin_025,Basin_018,0.719
Basin_025,Basin_047,0.701
Basin_026,Basin_003,0.894
Basin_026,Basin_011,0.882
Basin_026,Basin_047,0.876
Basin_027,Basin_035,0.874
Basin_027,Basin_006,0.868
Basin_027,Basin_070,0.858
Basin_028,Basin_066,0.883
Basin_028,Basin_053,0.874
Basin_028,Basin_057,0.873
Basin_029,Basin_042,0.631
Basin_029,Basin_041,0.548
Basin_029,Basin_020,0.543
Basin_030,Basin_063,0.508
Basin_030,Basin_004,0.279
Basin_030,Basin_041,0.269
Basin_031,Basin_043,0.784
Basin_031,Basin_005,0.727
Basin_031,Basin_009,0.692
Basin_032,Basin_020,0.659
Basin_032,Basin_031,0.555
Basin_032,Basin_049,0.482
Basin_033,Basin_015,0.37
Basin_033,Basin_022,0.351
Basin_033,Basin_023,0.257
Basin_034,Basin_067,0.391
Basin_034,Basin_018,0.385
Basin_034,Basin_065,0.363
Basin_035,Basin_014,0.96
Basin_035,Basin_057,0.96
Basin_035,Basin_069,0.96
Basin_036,Basin_023,0.762
Basin_036,Basin_010,0.541
Basin_036,Basin_062,0.487
Basin_037,Basin_056,0.72
Basin_037,Basin_001,0.589
Basin_037,Basin_042,0.576
Basin_038,Basin_039,0.857
Basin_038,Basin_040,0.489
Basin_038,Basin_058,0.451
Basin_039,Basin_038,0.857
Basin_039,Basin_040,0.605
Basin_039,Basin_058,0.4
Basin_040,Basin_039,0.605
Basin_040,Basin_002,0.517
Basin_040,Basin_038,0.489
Basin_041,Basin_048,0.764
Basin_041,Basin_019,0.568
Basin_041,Basin_018,0.562
Basin_042,Basin_058,0.637
Basin_042,Basin_029,0.631
Basin_042,Basin_037,0.576
Basin_043,Basin_027,0.816
Basin_043,Basin_031,0.784
Basin_043,Basin_035,0.771
Basin_044,Basin_046,0.956
Basin_044,Basin_040,0.332
Basin_044,Basin_002,0.242
Basin_045,Basin_014,0.947
Basin_045,Basin_057,0.946
Basin_045,Basin_053,0.945
Basin_046,Basin_044,0.956
Basin_046,Basin_001,0.279
Basin_046,Basin_027,0.273
Basin_047,Basin_011,0.959
Basin_047,Basin_049,0.957
Basin_047,Basin_060,0.955
Basin_048,Basin_018,0.813
